"","title","amount","dep","trans","views","city","states","date","time"
"739","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",20,"Bangalore","Karnataka",2015-10-12,22
"740","I Paid Rs. 2500 to Passport in Bangalore.",2500,"Passport","New Passport Application",24,"Bangalore","Karnataka",2015-10-12,22
"741","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"742","I Paid Rs. 1000 to Stamps and Registration in Bangalore.",1000,"Stamps and Registration","Registration of Flat or Apartment",19,"Bangalore","Karnataka",2015-10-12,22
"743","I Paid Rs. 200 to Transport in Bangalore.",200,"Transport","Duplicate Registration Certificate",22,"Bangalore","Karnataka",2015-10-12,22
"744","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",23,"Bangalore","Karnataka",2015-10-12,22
"745","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Registration of Vehicle",20,"Bangalore","Karnataka",2015-10-12,22
"746","I Paid Rs. 1200 to Income Tax in Bangalore.",1200,"Income Tax","New PAN Card",38,"Bangalore","Karnataka",2015-10-12,22
"747","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"748","I Paid Rs. 6000 to Transport in Bangalore.",6000,"Transport","New Domestic Driving License",18,"Bangalore","Karnataka",2015-10-12,22
"749","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",0,"Bangalore","Karnataka",2015-10-12,22
"750","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",41,"Bangalore","Karnataka",2015-10-12,22
"751","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"752","I Paid Rs. 400 to Transport in Bangalore.",400,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
